0	within	8.859908
1	minutes	9.700938
2	after	5.104588
3	the	1.0815582
4	stock	4.3114424
5	market	0.7400799
6	closed	5.360505
7	friday	4.4822817
8	,	1.3056536
9	i	8.715277
10	called	7.9335136
11	sen.	9.3292055
12	bill	9.843767
13	bradley	12.066639
14	of	7.0971327
15	new	6.355217
16	jersey	3.3191476
17	,	2.2319345
18	advised	9.888976
19	him	4.9763694
20	that	3.5385885
21	the	1.5808964
22	dow	7.2194104
23	jones	0.16431618
24	industrial	0.9702549
25	average	1.1336956
26	had	4.359402
27	declined	6.458413
28	by	5.1755977
29	190	8.924653
0	points	8.321616
1	late	8.17145
2	that	4.619943
3	afternoon	7.3007727
4	,	1.4481978
5	and	3.111843
6	OOV	3.147777
7	informed	9.5026655
8	him	6.319771
9	that	3.3149004
10	he	3.3366141
11	and	6.2319036
12	his	3.6524038
13	fellow	6.0385795
14	democrats	7.834404
15	were	5.1193132
16	to	3.8742247
17	blame	7.333395
18	.	2.1235514
19	EOS	0.039842606
20	they	4.674721
21	had	3.9783025
22	dealt	11.221714
23	a	1.6013985
24	major	4.6125865
25	setback	7.891196
26	that	3.3352776
27	afternoon	8.38502
28	to	4.2988625
29	president	10.7881
0	bush	7.959561
1	's	3.3372827
2	capital-gains	8.158446
3	tax	3.8130522
4	cut	4.43942
5	proposal	10.140762
6	,	1.947753
7	which	3.4370732
8	had	3.984829
9	seemed	7.978454
10	in	5.032603
11	the	1.3292322
12	bag	10.53683
13	after	6.487499
14	it	4.3898687
15	passed	7.828989
16	the	2.154276
17	house	6.715866
18	OOV	3.7475758
19	earlier	8.578461
20	in	2.309455
21	the	1.2261791
22	month	6.6985044
23	.	0.8835182
24	EOS	0.011993408
25	sen.	7.4175797
26	bradley	8.339363
27	has	4.122082
28	it	6.5986843
29	in	4.555043
0	his	6.2746525
1	mind	6.9961567
2	that	2.689299
3	such	6.3584595
4	a	2.2285156
5	tax	7.5486593
6	cut	4.6383095
7	would	4.5429463
8	OOV	4.02262
9	the	1.9957681
10	tax	5.9117546
11	reform	7.2523255
12	he	9.21266
13	helped	6.911319
14	engineer	14.023188
15	in	2.7576723
16	1986	6.481181
17	.	0.6248522
18	EOS	0.009361267
19	but	3.2152495
20	he	3.1210828
21	knows	6.0488586
22	that	1.607913
23	as	6.145544
24	many	3.4258995
25	as	2.5119958
26	20	8.09713
27	of	4.003139
28	his	5.2821097
29	fellow	7.727133
0	democrats	9.601355
1	are	3.6293178
2	OOV	2.386549
3	to	2.8742132
4	vote	7.070629
5	for	3.912516
6	the	1.4865184
7	cut	8.978059
8	,	2.1681757
9	popular	10.743583
10	among	7.832379
11	their	4.1689143
12	constituents	7.181778
13	.	1.8284321
14	EOS	0.078214645
15	as	4.4915276
16	a	2.0057359
17	result	1.2460012
18	,	1.1028996
19	he	2.800746
20	took	5.769079
21	the	2.1354184
22	lead	7.6676416
23	in	5.309888
24	arguing	12.924747
25	that	0.30493355
26	the	1.1938667
27	cut	9.72229
28	should	6.603171
29	be	0.7609043
0	blocked	12.028267
1	on	4.7030888
2	procedural	10.615796
3	grounds	6.8220205
4	.	0.90369415
5	EOS	0.033309937
6	he	3.9685597
7	helped	8.071475
8	persuade	7.035982
9	10	9.22083
10	of	4.6571255
11	these	5.3732038
12	senators	7.17271
13	to	2.9940104
14	support	6.16804
15	him	5.6815166
16	and	3.7878218
17	majority	9.672862
18	leader	6.960652
19	george	5.061449
20	mitchell	3.1197486
21	on	6.0380735
22	these	7.815778
23	grounds	8.165426
24	.	0.63068104
25	EOS	0.007879257
26	the	1.8253465
27	budget	7.6730256
28	reconciliation	16.85175
29	had	5.6165295
0	to	3.8392606
1	be	2.9290948
2	dealt	11.027852
3	with	0.7322941
4	by	4.718887
5	the	1.743156
6	oct.	7.104492
7	15	3.2484818
8	deadline	8.778155
9	,	1.9721789
10	and	3.048843
11	these	7.55223
12	senate	9.128604
13	democrats	7.5569434
14	refused	7.972418
15	to	0.39735317
16	agree	7.8700485
17	to	2.0893478
18	allow	7.245303
19	a	3.2160964
20	vote	6.6899424
21	to	1.4793015
22	OOV	3.1116576
23	capital	7.038331
24	gains	6.339304
